Trending Percent,Response Score,City,Country,Public Health Capacity,Societal Strength,Economic Ability,Infrastructure,Collaborative Will,Spread Response,Treatment Response,Economic Response,Supply Chain Response
3.5522,45.0,Mainz,Germany,0,0,0,0,0,43.0,47.0,,
3.54964,56.0,Vienna,Austria,69,81,83,94,60,31.0,65.0,57.0,80.0
3.53566,33.0,Hof,Germany,0,0,0,0,0,29.0,38.0,,
3.51935,40.0,Milan,Italy,67,74,75,90,56,25.0,25.0,52.0,74.0
3.50983,45.0,Reutlingen,Germany,0,0,0,0,0,43.0,47.0,,
3.48449,45.0,Ciudad Camargo,Mexico,0,0,0,0,0,73.0,17.0,,
3.39395,53.0,Cornwall,Canada,0,0,0,0,0,57.0,49.0,,
3.33581,39.0,Kaiserslautern,Germany,0,0,0,0,0,48.0,30.0,,
3.3201,52.0,Denton,United States,0,0,0,0,0,21.0,83.0,,
3.30708,44.0,Cerrillos,Argentina,0,0,0,0,0,48.0,40.0,,
3.30581,49.0,Minneapolis,United States,71,78,83,94,58,20.0,72.0,34.0,72.0
3.28916,40.0,Ribeirao Preto,Brazil,71,66,54,88,40,26.0,36.0,35.0,69.0
3.19599,50.0,Albany,United States,72,77,83,94,58,23.0,72.0,35.0,72.0
3.17369,77.0,Niigata,Japan,87,80,76,94,65,93.0,78.0,54.0,77.0
3.13052,45.0,Cleveland,United States,72,77,82,94,58,20.0,61.0,32.0,72.0
3.12633,57.0,Gangtok,India,23,57,35,78,67,68.0,53.0,29.0,72.0
3.07481,48.0,Petatlan,Mexico,0,0,0,0,0,73.0,22.0,,
3.05103,47.0,Tamuin,Mexico,0,0,0,0,0,73.0,21.0,,
3.03775,41.0,Sarasota,United States,72,79,82,94,58,24.0,43.0,32.0,72.0
3.02686,43.0,Chicago,United States,71,78,82,94,58,16.0,56.0,33.0,72.0
3.00839,49.0,Omaha,United States,74,78,82,94,58,11.0,82.0,32.0,72.0
3.007,49.0,Bari,Italy,67,74,72,90,56,38.0,44.0,47.0,74.0
3.00462,44.0,Jackson,United States,74,76,82,94,58,19.0,56.0,32.0,72.0
3.00153,42.0,Harrisburg,United States,72,78,83,94,58,21.0,49.0,34.0,72.0
2.98893,61.0,Dehra Dun,India,26,61,35,78,67,69.0,67.0,29.0,72.0
2.97802,55.0,Mazatan,Mexico,53,71,61,61,54,95.0,18.0,37.0,67.0
2.95446,53.0,Saint Louis,United States,73,77,81,94,58,49.0,59.0,30.0,72.0
2.93272,42.0,Sao Luis,Brazil,71,59,54,88,40,45.0,24.0,35.0,69.0
2.92058,50.0,Rome,Italy,67,73,74,90,56,37.0,47.0,51.0,74.0
2.91954,35.0,Humahuaca,Argentina,0,0,0,0,0,40.0,29.0,,
2.91826,79.0,Kurashiki,Japan,0,0,0,0,0,81.0,77.0,,
2.91826,74.0,Okayama,Japan,87,79,76,94,65,81.0,77.0,53.0,77.0
2.84982,50.0,Denver,United States,70,76,83,94,58,19.0,78.0,34.0,72.0
2.82211,50.0,Juchitan,Mexico,0,0,0,0,0,78.0,22.0,,
2.80036,45.0,Altata,Mexico,0,0,0,0,0,72.0,18.0,,
2.78437,53.0,Frankfort,United States,73,77,82,94,58,22.0,86.0,32.0,72.0
2.77973,52.0,Lincoln,United States,74,80,82,94,58,17.0,87.0,32.0,72.0
2.75172,58.0,San Lorenzo,Paraguay,55,62,63,84,43,44.0,,,76.0
2.72588,50.0,Annapolis,United States,70,79,82,94,58,24.0,74.0,32.0,72.0
2.71344,59.0,Bahawalpur,Pakistan,16,44,41,71,51,92.0,35.0,33.0,74.0
2.71344,59.0,Faisalabad,Pakistan,36,44,41,79,51,92.0,35.0,33.0,74.0
2.71344,59.0,Gujranwala,Pakistan,36,43,41,72,51,92.0,35.0,33.0,74.0
2.71344,59.0,Lahore,Pakistan,36,44,41,67,51,92.0,35.0,33.0,74.0
2.71344,59.0,Multan,Pakistan,36,45,41,68,51,92.0,35.0,33.0,74.0
2.71344,59.0,Rawalpindi,Pakistan,36,46,41,69,51,92.0,35.0,33.0,74.0
2.71344,59.0,Sargodha,Pakistan,36,44,41,73,51,92.0,35.0,33.0,74.0
2.67589,43.0,Boston,United States,71,73,85,94,58,15.0,54.0,38.0,72.0
2.64715,43.0,Miami,United States,72,77,80,94,58,0.0,77.0,28.0,72.0
2.64352,62.0,Heidelberg,Germany,0,0,0,0,0,48.0,77.0,,
2.63595,53.0,Paris,France,78,77,86,93,59,69.0,18.0,58.0,76.0
2.63562,50.0,Helena,United States,73,77,82,94,58,17.0,82.0,32.0,72.0
2.63354,72.0,Otsu,Japan,87,75,76,94,65,90.0,65.0,53.0,77.0
2.60122,72.0,Emden,Germany,0,0,0,0,0,63.0,80.0,,
2.55254,35.0,Bronx,United States,72,78,90,94,58,17.0,25.0,,72.0
2.55254,35.0,Brooklyn,United States,72,81,90,94,58,17.0,25.0,,72.0
2.55254,35.0,Manhattan,United States,72,81,90,94,58,17.0,25.0,,72.0
2.55254,34.0,New York,United States,72,80,84,94,58,17.0,25.0,36.0,72.0
2.55254,35.0,Queens,United States,72,82,90,94,58,17.0,25.0,,72.0
2.52134,43.0,Taxco,Mexico,0,0,0,0,0,66.0,19.0,,
2.5199,50.0,London,Canada,62,79,86,94,64,61.0,39.0,26.0,76.0
2.51821,61.0,San Rafael,Argentina,0,0,0,0,0,46.0,77.0,,
2.50692,57.0,Honolulu,United States,70,79,82,94,58,49.0,71.0,33.0,72.0
2.48529,44.0,Pittsburgh,United States,72,78,82,94,58,24.0,52.0,33.0,72.0
2.46445,44.0,Gualeguaychu,Argentina,0,0,0,0,0,34.0,54.0,,
2.44844,53.0,Halifax,Canada,65,78,86,94,64,84.0,25.0,25.0,76.0
2.44483,43.0,Carson City,United States,70,80,82,94,58,13.0,60.0,32.0,72.0
2.44166,49.0,Grand Rapids,United States,71,79,81,94,58,20.0,77.0,30.0,72.0
2.43554,37.0,Koblenz,Germany,0,0,0,0,0,46.0,28.0,,
2.43132,44.0,Zamora,Mexico,0,0,0,0,0,67.0,22.0,,
2.42504,42.0,Leon,Mexico,53,62,61,61,54,48.0,22.0,37.0,67.0
2.4131,61.0,Montevideo,Uruguay,63,63,66,92,47,46.0,80.0,46.0,70.0
2.4118,27.0,Passau,Germany,0,0,0,0,0,30.0,25.0,,
2.41158,59.0,Almaty,Kazakhstan,80,59,69,87,63,62.0,67.0,50.0,49.0
2.41063,51.0,Salem,United States,69,78,82,94,58,29.0,73.0,32.0,72.0
2.40646,63.0,Lethbridge,Canada,0,0,0,0,0,50.0,75.0,,
2.40646,63.0,Medicine Hat,Canada,0,0,0,0,0,50.0,75.0,,
2.3994,45.0,Sao Jose dos Pinhais,Brazil,71,67,54,88,40,34.0,47.0,35.0,69.0
2.39722,35.0,Lobos,Argentina,0,0,0,0,0,35.0,35.0,,
2.34695,43.0,St. Catharines,Canada,62,78,86,94,64,52.0,25.0,25.0,76.0
2.32442,42.0,Villanueva,Mexico,0,0,0,0,0,64.0,21.0,,
2.32426,48.0,Nashville,United States,72,77,81,94,58,6.0,83.0,31.0,72.0
2.31494,59.0,Al Hufuf,Saudi Arabia,64,64,53,0,69,46.0,71.0,49.0,70.0
2.30548,61.0,Belgaum,India,41,59,35,78,67,60.0,78.0,29.0,72.0
2.30548,62.0,Bengaluru,India,41,56,36,78,67,60.0,78.0,31.0,72.0
2.30548,61.0,Davangere,India,22,58,35,78,67,60.0,78.0,29.0,72.0
2.30548,61.0,Hubli,India,22,60,35,78,67,60.0,78.0,29.0,72.0
2.30548,61.0,Mangalore,India,22,60,35,78,67,60.0,78.0,29.0,72.0
2.30548,61.0,Mysore,India,22,59,35,78,67,60.0,78.0,29.0,72.0
2.30548,61.0,Shimoga,India,23,58,35,78,67,60.0,78.0,29.0,72.0
2.2949,47.0,Coalcoman,Mexico,0,0,0,0,0,73.0,22.0,,
2.27534,38.0,Trenton,United States,71,75,82,94,58,20.0,36.0,32.0,72.0
2.243,36.0,Tenosique,Mexico,0,0,0,0,0,48.0,25.0,,
2.22641,48.0,Necochea,Argentina,0,0,0,0,0,38.0,57.0,,
2.22001,74.0,Gumi,South Korea,0,0,0,0,0,94.0,55.0,,
